Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
M,Elyounoussi,5.4,5.4,Southampton,46,2.392,55,3.082,28.36,2.5940000000000003,29.805,3.366,25,1.155,29.415,2.819,29.97,2.4859999999999998,52,2.346
F,Broja,5.3,5.3,Southampton,75,4.124,75,4.307,38.295,3.6500000000000004,36.185,4.363,34.5,1.715,36.075,3.718,34.41,2.9850000000000003,68,3.172
F,Long,5.4,5.4,Southampton,5,0.304,6,0.378,3.775,0.40800000000000003,3.83,0.47600000000000003,3.5,0.154,4.44,0.502,4.995,0.505,7,0.391
F,Scarlett,4.5,4.5,Spurs,1,0.11699999999999999,3,0.201,0.8866666666666667,0.16399999999999998,1.7000000000000002,0.269,0.72,0.029,2.44,0.48300000000000004,1.626666666666667,0.281,4,0.264
D,Alves,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Coventry,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Cutrone,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Wissa,5.8,5.8,Brentford,39,1.817,18,1.209,18,1.096,18,1.188,20,1.134,19,0.888,25,1.462,23,1.38
F,A.Armstrong,5.7,5.7,Southampton,15,1.056,14,1.012,9.77,1.1380000000000001,10.545,1.4680000000000002,10,0.525,10.545,1.307,13.32,1.37,17,1.015
M,Chukwuemeka,4.5,4.5,Aston Villa,9,0.453,1.9000000000000001,0.231,3.1566666666666663,0.41700000000000004,3.893333333333334,0.48700000000000004,8,0.361,3.226666666666667,0.395,2.0166666666666666,0.24600000000000002,5,0.216
D,Chalobah,4.7,4.7,Chelsea,11,0.516,0,0,4.733333333333333,0.628,4.59,0.464,1.76,0.06,5.61,0.593,6.12,0.576,14,0.667
M,Tzolis,4.8,4.8,Norwich,13,0.571,10,0.492,6.725,0.6890000000000001,8.195,0.799,2.72,0.069,7.63,0.6940000000000001,7.085,0.733,17,0.764
F,Lukaku,11.5,11.5,Chelsea,85,5.1,0,0,40.53333333333333,7.834,40.29,6.218,12.32,0.821,39.27,5.5680000000000005,38.25,4.8500000000000005,76,5.128
F,Balogun,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Nelson,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Hein,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Richardson,4.4,4.4,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Thomas,3.9,3.9,Burnley,0,0,1,0.077,0.37000000000000005,0.023,0.7766666666666667,0.059000000000000004,1.5,0.032,0.40666666666666673,0.020999999999999998,0.40666666666666673,0.032,1,0.023
F,Zeqiri,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Karbownik,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Richards,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Caicedo,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Emerson,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Hannam,3.9,3.9,Crystal Palace,0.5,0.024,1,0.034,5,0.146,3,0.062,1.4,0.027,3,0.082,4,0.107,4,0.114
M,Rak-Sakyi,4.4,4.4,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,1,0.048,1,0.048
F,Street,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Banks,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,1,0.048,0,0
D,Branthwaite,4.0,4.0,Everton,71,2.024,70,1.227,18.495,1.901,14.250000000000002,2.2239999999999998,13.299999999999999,0.461,10.807500000000001,1.2810000000000001,10.480000000000002,1.3030000000000002,28,1.108
F,Broadhead,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
